


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
               473    0.4711914062     2.7616240562
               474    0.4711303711     2.7616270122
               475    0.4710693359     2.7616299705
               476    0.4710083008     2.7616329311
               477    0.4709472656     2.7616358939
               478    0.4708862305     2.7616388591
               479    0.4708251953     2.7616418265
               480    0.4707641602     2.7616447962
               481    0.4707031250     2.7616477681
               482    0.4706420898     2.7616507424
               483    0.4705810547     2.7616537190
               484    0.4705200195     2.7616566978
               485    0.4704589844     2.7616596789
               486    0.4703979492     2.7616626624
               487    0.4703369141     2.7616656481
               488    0.4702758789     2.7616686361
               489    0.4702148438     2.7616716264
               490    0.4701538086     2.7616746190
               491    0.4700927734     2.7616776140
               492    0.4700317383     2.7616806112
               493    0.4699707031     2.7616836107
               494    0.4699096680     2.7616866126
               495    0.4698486328     2.7616896167
               496    0.4697875977     2.7616926232
               497    0.4697265625     2.7616956320
               498    0.4696655273     2.7616986431
               499    0.4696044922     2.7617016565
               500    0.4695434570     2.7617046722
               501    0.4694824219     2.7617076903
               502    0.4694213867     2.7617107107
               503    0.4693603516     2.7617137334
               504    0.4692993164     2.7617167584
               505    0.4692382812     2.7617197858
               506    0.4691772461     2.7617228154
               507    0.4691162109     2.7617258475
               508    0.4690551758     2.7617288818
               509    0.4689941406     2.7617319185
               510    0.4689331055     2.7617349575
               511    0.4688720703     2.7617379989
               512    0.4688110352     2.7617410426
               513    0.4687500000     2.7617440886
               514    0.4686889648     2.7617471370
               515    0.4686279297     2.7617501878
               516    0.4685668945     2.7617532408
               517    0.4685058594     2.7617562963
               518    0.4684448242     2.7617593541
               519    0.4683837891     2.7617624142
               520    0.4683227539     2.7617654767
               521    0.4682617188     2.7617685415
               522    0.4682006836     2.7617716088
               523    0.4681396484     2.7617746783
               524    0.4680786133     2.7617777503
               525    0.4680175781     2.7617808246
               526    0.4679565430     2.7617839012
               527    0.4678955078     2.7617869803
               528    0.4678344727     2.7617900617
               529    0.4677734375     2.7617931454
               530    0.4677124023     2.7617962316
               531    0.4676513672     2.7617993201
               532    0.4675903320     2.7618024110
               533    0.4675292969     2.7618055043
               534    0.4674682617     2.7618086000
               535    0.4674072266     2.7618116980
               536    0.4673461914     2.7618147985
               537    0.4672851562     2.7618179013
               538    0.4672241211     2.7618210065
               539    0.4671630859     2.7618241141
               540    0.4671020508     2.7618272240
               541    0.4670410156     2.7618303364
               542    0.4669799805     2.7618334512
               543    0.4669189453     2.7618365684
               544    0.4668579102     2.7618396880
               545    0.4667968750     2.7618428099
               546    0.4667358398     2.7618459343
               547    0.4666748047     2.7618490611
               548    0.4666137695     2.7618521903
               549    0.4665527344     2.7618553219
               550    0.4664916992     2.7618584559
               551    0.4664306641     2.7618615923
               552    0.4663696289     2.7618647312
               553    0.4663085938     2.7618678724
               554    0.4662475586     2.7618710161
               555    0.4661865234     2.7618741622
               556    0.4661254883     2.7618773107
               557    0.4660644531     2.7618804617
               558    0.4660034180     2.7618836150
               559    0.4659423828     2.7618867708
               560    0.4658813477     2.7618899290
               561    0.4658203125     2.7618930897
               562    0.4657592773     2.7618962528
               563    0.4656982422     2.7618994183
               564    0.4656372070     2.7619025863
               565    0.4655761719     2.7619057567
               566    0.4655151367     2.7619089295
               567    0.4654541016     2.7619121048
               568    0.4653930664     2.7619152825
               569    0.4653320312     2.7619184627
               570    0.4652709961     2.7619216453
               571    0.4652099609     2.7619248304
               572    0.4651489258     2.7619280179
               573    0.4650878906     2.7619312079
               574    0.4650268555     2.7619344004
               575    0.4649658203     2.7619375953
               576    0.4649047852     2.7619407926
               577    0.4648437500     2.7619439924
               578    0.4647827148     2.7619471947
               579    0.4647216797     2.7619503995
               580    0.4646606445     2.7619536067
               581    0.4645996094     2.7619568164
               582    0.4645385742     2.7619600285
               583    0.4644775391     2.7619632432
               584    0.4644165039     2.7619664603
               585    0.4643554688     2.7619696798
               586    0.4642944336     2.7619729019
               587    0.4642333984     2.7619761264
               588    0.4641723633     2.7619793535
               589    0.4641113281     2.7619825830
               590    0.4640502930     2.7619858150
               591    0.4639892578     2.7619890495
               592    0.4639282227     2.7619922864
               593    0.4638671875     2.7619955259
               594    0.4638061523     2.7619987679
               595    0.4637451172     2.7620020123
               596    0.4636840820     2.7620052593
               597    0.4636230469     2.7620085088
               598    0.4635620117     2.7620117607
               599    0.4635009766     2.7620150152
               600    0.4634399414     2.7620182722
               601    0.4633789062     2.7620215317
               602    0.4633178711     2.7620247936
               603    0.4632568359     2.7620280581
               604    0.4631958008     2.7620313252
               605    0.4631347656     2.7620345947
               606    0.4630737305     2.7620378667
               607    0.4630126953     2.7620411413
               608    0.4629516602     2.7620444184
               609    0.4628906250     2.7620476981
               610    0.4628295898     2.7620509802
               611    0.4627685547     2.7620542649
               612    0.4627075195     2.7620575520
               613    0.4626464844     2.7620608418
               614    0.4625854492     2.7620641340
               615    0.4625244141     2.7620674289
               616    0.4624633789     2.7620707262
               617    0.4624023438     2.7620740261
               618    0.4623413086     2.7620773285
               619    0.4622802734     2.7620806335
               620    0.4622192383     2.7620839410
               621    0.4621582031     2.7620872510
               622    0.4620971680     2.7620905636
               623    0.4620361328     2.7620938788
               624    0.4619750977     2.7620971965
               625    0.4619140625     2.7621005168
               626    0.4618530273     2.7621038396
               627    0.4617919922     2.7621071650
               628    0.4617309570     2.7621104929
               629    0.4616699219     2.7621138234
               630    0.4616088867     2.7621171565
               631    0.4615478516     2.7621204922
               632    0.4614868164     2.7621238304
               633    0.4614257812     2.7621271712
               634    0.4613647461     2.7621305145
               635    0.4613037109     2.7621338604
               636    0.4612426758     2.7621372089
               637    0.4611816406     2.7621405600
               638    0.4611206055     2.7621439137
               639    0.4610595703     2.7621472700
               640    0.4609985352     2.7621506288
               641    0.4609375000     2.7621539902
               642    0.4608764648     2.7621573543
               643    0.4608154297     2.7621607208
               644    0.4607543945     2.7621640900
               645    0.4606933594     2.7621674618
               646    0.4606323242     2.7621708362
               647    0.4605712891     2.7621742132
               648    0.4605102539     2.7621775928
               649    0.4604492188     2.7621809750
               650    0.4603881836     2.7621843598
               651    0.4603271484     2.7621877472
               652    0.4602661133     2.7621911373
               653    0.4602050781     2.7621945299
               654    0.4601440430     2.7621979251
               655    0.4600830078     2.7622013230
               656    0.4600219727     2.7622047235
               657    0.4599609375     2.7622081266
               658    0.4598999023     2.7622115323
               659    0.4598388672     2.7622149406
               660    0.4597778320     2.7622183516
               661    0.4597167969     2.7622217652
               662    0.4596557617     2.7622251814
               663    0.4595947266     2.7622286003
               664    0.4595336914     2.7622320218
               665    0.4594726562     2.7622354459
               666    0.4594116211     2.7622388727
               667    0.4593505859     2.7622423021
               668    0.4592895508     2.7622457341
               669    0.4592285156     2.7622491688
               670    0.4591674805     2.7622526062
               671    0.4591064453     2.7622560462
               672    0.4590454102     2.7622594888
               673    0.4589843750     2.7622629341
               674    0.4589233398     2.7622663820
               675    0.4588623047     2.7622698327
               676    0.4588012695     2.7622732859
               677    0.4587402344     2.7622767418
               678    0.4586791992     2.7622802004
               679    0.4586181641     2.7622836617
               680    0.4585571289     2.7622871256
               681    0.4584960938     2.7622905922
               682    0.4584350586     2.7622940615
               683    0.4583740234     2.7622975334
               684    0.4583129883     2.7623010080
               685    0.4582519531     2.7623044853
               686    0.4581909180     2.7623079653
               687    0.4581298828     2.7623114479
               688    0.4580688477     2.7623149332
               689    0.4580078125     2.7623184212
               690    0.4579467773     2.7623219119
               691    0.4578857422     2.7623254053
               692    0.4578247070     2.7623289014
               693    0.4577636719     2.7623324002
               694    0.4577026367     2.7623359017
               695    0.4576416016     2.7623394058
               696    0.4575805664     2.7623429127
               697    0.4575195312     2.7623464223
               698    0.4574584961     2.7623499346
               699    0.4573974609     2.7623534496
